Phage,Taxonomy
KM101122,Viruses
KM101123,Viruses
KM101124,Viruses
KM190144,Viruses
KM199770,Viruses
KM199771,Viruses
KM215148,Viruses
KM216423,Viruses
KM224878,Viruses
KM224879,Viruses
KM226324,Viruses
KM233151,Viruses
KM247287,Viruses
KM253764,Viruses
KM272358,Viruses
KM279937,Viruses
KM347889,Viruses
KM360178,Viruses
KM370384,Viruses
KM373208,Viruses
KM378617,Viruses
KM407600,Viruses
KM458633,Viruses
KM501444,Viruses
KM507819,Viruses
KM514685,Viruses
KM581061,Viruses
KM606994,Viruses
KM606995,Viruses
KM606996,Viruses
KM606997,Viruses
KM606998,Viruses
KM606999,Viruses
KM607000,Viruses
KM607001,Viruses
KM607002,Viruses
KM607003,Viruses
KM879463,Viruses
KP027199,Viruses
KP027200,Viruses
KP027201,Viruses
KP027205,Viruses
KP027206,Viruses
KP063541,Viruses
KP085586,Viruses
KP162168,Viruses
L13696,Viruses
L33769,Viruses
LK392619,Viruses
LN610572,Viruses
LN610573,Viruses
LN610574,Viruses
LN610575,Viruses
LN610576,Viruses
LN610577,Viruses
LN610578,Viruses
LN610579,Viruses
LN610580,Viruses
LN610581,Viruses
LN610582,Viruses
LN610583,Viruses
LN610585,Viruses
LN610586,Viruses
LN610587,Viruses
LN610588,Viruses
LN610589,Viruses
LN610590,Viruses
M11813,Viruses
M11912,Viruses
M19377,Viruses
U28974,Bacteria
U38906,Viruses
X96987,Viruses
X98106,Viruses
X99260,Viruses
Y13918,Viruses
